Trip_Distance_km,Day_of_Week,Traffic_Conditions,Weather,Trip_Duration_Minutes,Trip_Price
19.35,Weekday,Low,Clear,53.82,36.2624
36.87,Weekend,High,Clear,37.27,52.9032
8.64,Weekend,Medium,Clear,89.33,60.2028
3.85,Weekday,High,Rain,5.05,11.2645
41.79,Weekend,High,Clear,86.95,88.13279999999999
9.91,Weekday,High,Clear,41.72,28.9914
9.99,Weekday,High,Clear,34.0,27.4415
15.91,Weekday,Low,Clear,114.93,56.716
26.71,Weekend,Low,Rain,111.18,69.0049
30.98,Weekend,Low,Rain,57.02,44.7782
18.95,Weekday,Low,Clear,54.04,39.2366
39.47,Weekday,Low,Clear,7.59,83.69649999999999
30.03,Weekday,High,Clear,83.21,64.7971
3.28,Weekday,Medium,Clear,78.04,24.260800000000003
30.77,Weekday,Low,Clear,109.6,58.8121
9.36,Weekday,Medium,Clear,7.07,20.7765
47.5,Weekend,Low,Clear,95.55,57.28
48.32,Weekday,Low,Clear,67.25,61.5552
40.61,Weekday,Low,Clear,42.25,54.1018
5.79,Weekday,Low,Clear,107.07,40.9225
34.53,Weekday,Medium,Clear,59.14,60.0471
22.57,Weekday,Low,Clear,105.98,62.77850000000001
6.98,Weekend,Low,Clear,72.37,20.791
25.26,Weekday,High,Clear,82.53,57.0482
2.69,Weekday,Low,Clear,97.49,42.9921
45.56,Weekday,Low,Clear,80.8,85.88400000000001
13.68,Weekend,High,Clear,50.78,29.4758
33.46,Weekend,Low,Rain,64.07,30.9982
16.27,Weekday,Low,Clear,97.35,64.05529999999999
26.48,Weekend,Medium,Clear,47.97,44.844
27.79,Weekday,Low,Clear,49.63,44.1197
10.06,Weekday,Medium,Rain,16.0,20.1596
48.51,Weekday,High,Rain,110.18,104.1764
38.98,Weekday,Low,Clear,15.47,57.0766
44.85,Weekend,Medium,Rain,52.52,41.9343
30.3,Weekend,Low,Clear,51.65,72.2695
46.17,Weekday,Medium,Clear,83.15,99.8989
5.34,Weekday,Low,Clear,12.72,10.2366
10.6,Weekday,Medium,Clear,73.28,32.342
3.22,Weekday,Low,Rain,93.78,37.1504
16.94,Weekday,Medium,Snow,100.24,78.715
14.3,Weekday,High,Clear,108.2,59.181
18.48,Weekday,Medium,Clear,106.41,69.6575
27.59,Weekend,Medium,Rain,67.33,61.459500000000006
7.91,Weekday,Medium,Clear,110.69,68.3748
40.31,Weekday,Medium,Clear,108.49,71.2142
38.84,Weekend,Low,Clear,50.21,69.52810000000001
1.27,Weekday,High,Clear,37.99,11.3358
35.64,Weekend,High,Rain,104.02,36.4388
36.72,Weekend,Low,Clear,13.03,61.8883
38.79,Weekday,Low,Clear,82.93,104.2421
4.63,Weekday,Medium,Clear,24.87,18.8626
18.56,Weekend,Medium,Snow,44.62,45.385000000000005
6.68,Weekend,Medium,Clear,12.08,16.9284
43.29,Weekday,Medium,Rain,36.05,94.2463
31.54,Weekday,High,Clear,93.37,87.6076
17.21,Weekday,Low,Rain,106.78,42.8661
4.11,Weekend,High,Rain,30.48,11.2613
16.93,Weekday,Low,Snow,59.09,42.9949
36.75,Weekday,Medium,Clear,105.46,76.2217
44.47,Weekend,Low,Clear,64.0,59.761300000000006
6.86,Weekend,High,Clear,102.45,29.4658
35.95,Weekend,Low,Clear,6.1,40.4165
38.28,Weekday,Medium,Clear,51.33,63.56110000000001
28.5,Weekday,Medium,Clear,109.33,105.9418
26.61,Weekday,Low,Rain,65.91,33.0286
21.95,Weekday,Medium,Clear,44.99,27.865
2.54,Weekend,Low,Clear,53.11,25.7527
32.18,Weekday,Medium,Rain,87.13,62.4923
25.92,Weekday,Low,Clear,22.79,58.7766
45.47,Weekend,Low,Rain,56.93,73.4155
13.22,Weekday,Low,Rain,51.92,31.99
21.11,Weekend,High,Rain,84.06,34.3067
